"Graph 0"
-216678912.000000
-211169792.000000
-205520384.000000
-199063296.000000
-192360704.000000
-185175808.000000
-177652480.000000
-169928960.000000
-161103104.000000
-152727552.000000
-144009216.000000
-134800384.000000
-125588480.000000
-116431360.000000
-106874624.000000
-97482752.000000
-88019712.000000
-79068928.000000
-70198272.000000
5341952.000000
6342400.000000
7009280.000000
7474176.000000
7402240.000000
7076096.000000
6639616.000000
6087168.000000
5268480.000000
4348672.000000
3513088.000000
2546944.000000
1509632.000000
499456.000000
-402432.000000
-1395456.000000
-2497792.000000
-3312896.000000
-3907072.000000
-4436480.000000
-4972800.000000
-5265664.000000
-5328640.000000
-5404160.000000
-5400064.000000
-4856832.000000
-4590080.000000
-4224256.000000
-3544576.000000
-2808064.000000
-2137088.000000
-1509632.000000
-713472.000000
67840.000000
573952.000000
1180160.000000
1604352.000000
2076672.000000
2441984.000000
2564096.000000
2479360.000000
2383616.000000
2025728.000000
1735424.000000
1182464.000000
441856.000000
-447488.000000
-1251072.000000
-2323200.000000
-3389440.000000
-4628992.000000
-5708544.000000
-6637824.000000
-7617024.000000
-8342272.000000
-8677120.000000
-8829696.000000
-8842496.000000
-8283648.000000
-7183616.000000
-5744896.000000
-3660288.000000
-961536.000000
2242816.000000
6056704.000000
10273280.000000
15549696.000000
21340672.000000
27595520.000000
34821376.000000
42833920.000000
51563520.000000
61008384.000000
70723072.000000
80948224.000000
91568128.000000
102339328.000000
112832512.000000
124011264.000000
135252224.000000
146877696.000000
159263744.000000
172168960.000000
185498880.000000
198378496.000000
211084288.000000
223382016.000000
235169536.000000
246821376.000000
258899712.000000
271715584.000000
431077888.000000
439568128.000000
447638784.000000
456023040.000000
465015552.000000
473866496.000000
482396416.000000
490141184.000000
496338688.000000
501076736.000000
504549120.000000
506625792.000000
508034560.000000
508792832.000000
508694016.000000
507868160.000000
505346816.000000
501181696.000000
494835968.000000
486898944.000000
476922368.000000
466340608.000000
454409216.000000
441258752.000000
426687744.000000
410488064.000000
392261120.000000
372695552.000000
351083776.000000
328095744.000000
304414976.000000
279055104.000000
253716992.000000
227478528.000000
199323392.000000
171471104.000000
142695424.000000
113181952.000000
84004352.000000
54764032.000000
25563392.000000
-2555904.000000
-32288768.000000
-60579840.000000
-88024832.000000
-114500096.000000
-322774272.000000
-328311296.000000
-332714496.000000
-336791040.000000
-340221952.000000
-343272448.000000
-346195200.000000
-348506112.000000
-351187200.000000
-353999104.000000
-357009664.000000
-360195072.000000
-363678464.000000
-367289344.000000
-371194368.000000
-375648768.000000
-380136448.000000
-385017856.000000
-390124544.000000
-395323136.000000
-400605952.000000
-406120192.000000
-411461376.000000
-416800512.000000
-421920256.000000
-426688256.000000
-430906624.000000
-434681344.000000
-437949696.000000
-440463616.000000
-441943040.000000
-442571008.000000
-442055168.000000
-440181248.000000
-437524224.000000
-239815680.000000
-219282432.000000
-198840576.000000
-177310208.000000
-156216064.000000
-135224320.000000
-113888000.000000
-93462016.000000
-73056000.000000
-53477376.000000
-34787584.000000
-17103104.000000
-440064.000000
15111680.000000
29216256.000000
41618432.000000
53182208.000000
63914496.000000
73246464.000000
81700864.000000
89027328.000000
95165696.000000
100582400.000000
104984576.000000
108973312.000000
112191744.000000
114757632.000000
117004544.000000
118648320.000000
120276992.000000
121561600.000000
122743296.000000
123782912.000000
124914432.000000
126005248.000000
126870272.000000
128025088.000000
128998144.000000
130041856.000000
131246080.000000
132304640.000000
133651712.000000
134804224.000000
135726336.000000
136859648.000000
138003712.000000
138841344.000000
139884800.000000
120618240.000000
116112896.000000
111208448.000000
105432064.000000
